time,x,y,z
3.59,-2.09971,2.36457,2
3.6,-2.07119,2.3896,2
3.61,-2.04237,2.41428,2
3.62,-2.01325,2.43861,2
3.63,-1.98384,2.4626,2
3.64,-1.95415,2.48622,2
3.65,-1.92417,2.50949,2
3.66,-1.89392,2.5324,2
3.67,-1.8634,2.55495,2
3.68,-1.8326,2.57712,2
3.69,-1.80155,2.59893,2
3.7,-1.77023,2.62036,2
3.71,-1.73866,2.64141,2
3.72,-1.70684,2.66209,2
3.73,-1.67477,2.68238,2
3.74,-1.64246,2.70228,2
3.75,-1.60992,2.72179,2
3.76,-1.57714,2.74092,2
3.77,-1.54414,2.75965,2
3.78,-1.51091,2.77798,2
3.79,-1.47747,2.79591,2
3.8,-1.44381,2.81343,2
3.81,-1.40995,2.83056,2
3.82,-1.37588,2.84727,2
3.83,-1.34161,2.86358,2
3.84,-1.30715,2.87947,2
3.85,-1.27251,2.89495,2
3.86,-1.23768,2.91001,2
3.87,-1.20267,2.92465,2
3.88,-1.16749,2.93887,2
3.89,-1.13214,2.95267,2
3.9,-1.09663,2.96604,2
3.91,-1.06095,2.97899,2
3.92,-1.02513,2.99151,2
3.93,-0.98916,3.00359,2
3.94,-0.953047,3.01524,2
3.95,-0.916796,3.02646,2
3.96,-0.880414,3.03725,2
3.97,-0.843904,3.04759,2
3.98,-0.807273,3.0575,2
3.99,-0.770526,3.06697,2
4,-0.733668,3.07599,2
4.01,-0.696704,3.08458,2
4.02,-0.65964,3.09271,2
4.03,-0.62248,3.10041,2
4.04,-0.585232,3.10765,2
4.05,-0.547899,3.11445,2
4.06,-0.510487,3.1208,2
4.07,-0.473001,3.1267,2
4.08,-0.435448,3.13215,2
4.09,-0.397831,3.13715,2
4.1,-0.360158,3.1417,2
4.11,-0.322432,3.1458,2
4.12,-0.28466,3.14944,2
4.13,-0.246848,3.15263,2
4.14,-0.208999,3.15536,2
4.15,-0.171121,3.15764,2
4.16,-0.133217,3.15947,2
4.17,-0.0952952,3.16084,2
4.18,-0.0573591,3.16176,2
4.19,-0.0194148,3.16222,2
4.2,0.0185323,3.16222,2
4.21,0.0564767,3.16177,2
4.22,0.094413,3.16087,2
4.23,0.132336,3.15951,2
4.24,0.170239,3.15769,2
4.25,0.208119,3.15542,2
4.26,0.245968,3.1527,2
4.27,0.283781,3.14952,2
4.28,0.321554,3.14589,2
4.29,0.359281,3.1418,2
4.3,0.396956,3.13726,2
4.31,0.434573,3.13227,2
4.32,0.472129,3.12683,2
4.33,0.509616,3.12094,2
4.34,0.547029,3.1146,2
4.35,0.584364,3.10782,2
4.36,0.621615,3.10058,2
4.37,0.658777,3.0929,2
4.38,0.695843,3.08477,2
4.39,0.732809,3.0762,2
