time,vx,vy,vz,px,py,pz
3.25,0,0,168.15,0,0,598.084
3.26,0,0,168.052,0,0,599.765
3.27,0,0,167.954,0,0,601.445
3.28,0,0,167.856,0,0,603.123
3.29,0,0,167.758,0,0,604.801
3.3,0,0,167.66,0,0,606.477
3.31,0,0,167.562,0,0,608.153
3.32,0,0,167.464,0,0,609.828
3.33,0,0,167.366,0,0,611.501
3.34,0,0,167.268,0,0,613.174
3.35,0,0,167.17,0,0,614.846
3.36,0,0,167.072,0,0,616.516
3.37,0,0,166.974,0,0,618.186
3.38,0,0,166.876,0,0,619.855
3.39,0,0,166.778,0,0,621.523
3.4,0,0,166.68,0,0,623.189
3.41,0,0,166.582,0,0,624.855
3.42,0,0,166.484,0,0,626.52
3.43,0,0,166.386,0,0,628.184
3.44,0,0,166.288,0,0,629.847
3.45,0,0,166.19,0,0,631.509
3.46,0,0,166.092,0,0,633.17
3.47,0,0,165.994,0,0,634.83
3.48,0,0,165.896,0,0,636.489
3.49,0,0,165.798,0,0,638.146
3.5,0,0,165.7,0,0,639.803
3.51,0,0,165.602,0,0,641.46
3.52,0,0,165.504,0,0,643.115
3.53,0,0,165.406,0,0,644.769
3.54,0,0,165.308,0,0,646.422
3.55,0,0,165.21,0,0,648.074
3.56,0,0,165.112,0,0,649.725
3.57,0,0,165.014,0,0,651.375
3.58,0,0,164.916,0,0,653.024
3.59,0,0,164.818,0,0,654.672
3.6,0,0,164.72,0,0,656.32
3.61,0,0,164.622,0,0,657.966
3.62,0,0,164.524,0,0,659.611
3.63,0,0,164.426,0,0,661.255
3.64,0,0,164.328,0,0,662.899
3.65,0,0,164.23,0,0,664.541
3.66,0,0,164.132,0,0,666.182
3.67,0,0,164.034,0,0,667.823
3.68,0,0,163.936,0,0,669.462
3.69,0,0,163.838,0,0,671.1
3.7,0,0,163.74,0,0,672.738
3.71,0,0,163.642,0,0,674.374
3.72,0,0,163.544,0,0,676.01
3.73,0,0,163.446,0,0,677.644
3.74,0,0,163.348,0,0,679.277
3.75,0,0,163.25,0,0,680.91
3.76,0,0,163.152,0,0,682.542
3.77,0,0,163.054,0,0,684.172
3.78,0,0,162.956,0,0,685.802
3.79,0,0,162.858,0,0,687.43
3.8,0,0,162.76,0,0,689.058
3.81,0,0,162.662,0,0,690.684
3.82,0,0,162.564,0,0,692.31
3.83,0,0,162.466,0,0,693.935
3.84,0,0,162.368,0,0,695.558
3.85,0,0,162.27,0,0,697.181
3.86,0,0,162.172,0,0,698.803
3.87,0,0,162.074,0,0,700.424
3.88,0,0,161.976,0,0,702.043
3.89,0,0,161.878,0,0,703.662
3.9,0,0,161.78,0,0,705.28
3.91,0,0,161.682,0,0,706.897
3.92,0,0,161.584,0,0,708.513
3.93,0,0,161.486,0,0,710.127
3.94,0,0,161.388,0,0,711.741
3.95,0,0,161.29,0,0,713.354
3.96,0,0,161.192,0,0,714.966
3.97,0,0,161.094,0,0,716.577
3.98,0,0,160.996,0,0,718.187
3.99,0,0,160.898,0,0,719.796
4,0,0,160.8,0,0,721.404
4.01,0,0,160.702,0,0,723.011
4.02,0,0,160.604,0,0,724.617
4.03,0,0,160.506,0,0,726.222
4.04,0,0,160.408,0,0,727.826
4.05,0,0,160.31,0,0,729.429
4.06,0,0,160.212,0,0,731.031
4.07,0,0,160.114,0,0,732.633
4.08,0,0,160.016,0,0,734.233
4.09,0,0,159.918,0,0,735.832
4.1,0,0,159.82,0,0,737.43
4.11,0,0,159.722,0,0,739.027
4.12,0,0,159.624,0,0,740.624
4.13,0,0,159.526,0,0,742.219
4.14,0,0,159.428,0,0,743.813
4.15,0,0,159.33,0,0,745.406
4.16,0,0,159.232,0,0,746.999
4.17,0,0,159.134,0,0,748.59
4.18,0,0,159.036,0,0,750.18
4.19,0,0,158.938,0,0,751.77
4.2,0,0,158.84,0,0,753.358
4.21,0,0,158.742,0,0,754.946
4.22,0,0,158.644,0,0,756.532
4.23,0,0,158.546,0,0,758.118
4.24,0,0,158.448,0,0,759.702
4.25,0,0,158.35,0,0,761.285
4.26,0,0,158.252,0,0,762.868
4.27,0,0,158.154,0,0,764.45
4.28,0,0,158.056,0,0,766.03
4.29,0,0,157.958,0,0,767.61
4.3,0,0,157.86,0,0,769.188
4.31,0,0,157.762,0,0,770.766
4.32,0,0,157.664,0,0,772.343
4.33,0,0,157.566,0,0,773.918
4.34,0,0,157.468,0,0,775.493
4.35,0,0,157.37,0,0,777.067
4.36,0,0,157.272,0,0,778.639
4.37,0,0,157.174,0,0,780.211
4.38,0,0,157.076,0,0,781.782
4.39,0,0,156.978,0,0,783.352
4.4,0,0,156.88,0,0,784.92
4.41,0,0,156.782,0,0,786.488
4.42,0,0,156.684,0,0,788.055
4.43,0,0,156.586,0,0,789.621
4.44,0,0,156.488,0,0,791.186
4.45,0,0,156.39,0,0,792.75
4.46,0,0,156.292,0,0,794.313
4.47,0,0,156.194,0,0,795.875
4.48,0,0,156.096,0,0,797.436
4.49,0,0,155.998,0,0,798.995
4.5,0,0,155.9,0,0,800.554
4.51,0,0,155.802,0,0,802.113
4.52,0,0,155.704,0,0,803.67
4.53,0,0,155.606,0,0,805.226
4.54,0,0,155.508,0,0,806.781
4.55,0,0,155.41,0,0,808.335
4.56,0,0,155.312,0,0,809.888
4.57,0,0,155.214,0,0,811.44
4.58,0,0,155.116,0,0,812.991
4.59,0,0,155.018,0,0,814.541
4.6,0,0,154.92,0,0,816.091
4.61,0,0,154.822,0,0,817.639
4.62,0,0,154.724,0,0,819.186
4.63,0,0,154.626,0,0,820.732
4.64,0,0,154.528,0,0,822.278
4.65,0,0,154.43,0,0,823.822
4.66,0,0,154.332,0,0,825.365
4.67,0,0,154.234,0,0,826.908
4.68,0,0,154.136,0,0,828.449
4.69,0,0,154.038,0,0,829.989
4.7,0,0,153.94,0,0,831.529
4.71,0,0,153.842,0,0,833.067
4.72,0,0,153.744,0,0,834.605
4.73,0,0,153.646,0,0,836.141
4.74,0,0,153.548,0,0,837.676
4.75,0,0,153.45,0,0,839.211
4.76,0,0,153.352,0,0,840.745
4.77,0,0,153.254,0,0,842.277
4.78,0,0,153.156,0,0,843.809
4.79,0,0,153.058,0,0,845.339
4.8,0,0,152.96,0,0,846.869
4.81,0,0,152.862,0,0,848.397
4.82,0,0,152.764,0,0,849.925
4.83,0,0,152.666,0,0,851.452
4.84,0,0,152.568,0,0,852.977
4.85,0,0,152.47,0,0,854.502
4.86,0,0,152.372,0,0,856.026
4.87,0,0,152.274,0,0,857.549
4.88,0,0,152.176,0,0,859.07
4.89,0,0,152.078,0,0,860.591
